TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
32036,311,334.6480,176.0392,0.0334,---,338.7558,218.1581,0.1287, 6.4253
32086,311,334.6480,176.0392,0.0334,---,338.7560,218.1297,0.1286, 6.2907
32136,311,334.6480,176.0392,0.0334,---,338.7563,218.0852,0.1285, 6.6830
32186,311,334.6480,176.0392,0.0334,---,338.7565,218.0326,0.1285, 6.4293
32236,311,334.6480,176.0392,0.0334,---,338.7569,217.9702,0.1284, 6.7372
32286,311,334.6480,176.0392,0.0334,---,338.7572,217.9005,0.1284, 6.4005
32336,311,334.6480,176.0392,0.0334,---,338.7577,217.8227,0.1284, 6.6323
32386,311,334.6480,176.0392,0.0334,---,338.7581,217.7359,0.1284, 6.2185
32436,311,334.6480,176.0392,0.0334,---,338.7586,217.6387,0.1284, 6.3548
32486,311,334.6480,176.0392,0.0334,---,338.7592,217.5310,0.1284, 6.4420
32536,311,334.6480,176.0392,0.0334,---,338.7598,217.4143,0.1284, 6.3783
32586,311,334.6480,176.0392,0.0334,---,338.7605,217.2895,0.1284, 6.3837
32636,311,334.6480,176.0392,0.0334,---,338.7612,217.1574,0.1284, 6.3548
32686,311,334.6480,176.0392,0.0334,---,338.7619,217.0182,0.1284, 6.4014
32736,311,334.6480,176.0392,0.0334,---,338.7628,216.8724,0.1284, 6.3080
32786,311,334.6480,176.0392,0.0334,---,338.7636,216.7201,0.1284, 6.5251
32836,311,334.6480,176.0392,0.0334,---,338.7644,216.5632,0.1285, 6.6375
32886,311,334.6480,176.0392,0.0334,---,338.7652,216.4063,0.1286, 6.4896
32936,311,334.6480,176.0392,0.0334,---,338.7661,216.2496,0.1286, 6.3444
32986,311,334.6480,176.0392,0.0334,---,338.7669,216.0929,0.1287, 6.5374
33036,311,334.6480,176.0392,0.0334,---,338.7677,215.9364,0.1287, 6.5430
33086,311,334.6480,176.0392,0.0334,---,338.7685,215.7800,0.1288, 6.3984
33136,311,334.6480,176.0392,0.0334,---,338.7693,215.6236,0.1288, 6.2536
33186,311,334.6480,176.0392,0.0334,---,338.7701,215.4674,0.1288, 6.7149
33236,311,334.6480,176.0392,0.0334,---,338.7710,215.3113,0.1288, 6.4847
33286,311,334.6480,176.0392,0.0334,---,338.7718,215.1553,0.1288, 6.5388
33336,311,334.6480,176.0392,0.0334,---,338.7726,214.9983,0.1288, 6.2784
33386,311,334.6480,176.0392,0.0334,---,338.7736,214.8303,0.1287, 6.4102
33436,311,334.6480,176.0392,0.0334,---,338.7745,214.6510,0.1286, 6.4252
33486,311,334.6480,176.0392,0.0334,---,338.7755,214.4621,0.1286, 6.5330
33536,311,334.6480,176.0392,0.0334,---,338.7765,214.2659,0.1285, 6.3932
33586,311,334.6480,176.0392,0.0334,---,338.7776,214.0642,0.1285, 6.4377
33636,311,334.6480,176.0392,0.0334,---,338.7786,213.8584,0.1285, 6.6638
33686,311,334.6480,176.0392,0.0334,---,338.7797,213.6492,0.1286, 6.2614
33736,311,334.6480,176.0392,0.0334,---,338.7807,213.4370,0.1286, 6.4533
33786,311,334.6480,176.0392,0.0334,---,338.7818,213.2222,0.1286, 6.6357
33836,311,334.6480,176.0392,0.0334,---,338.7829,213.0050,0.1286, 6.6238
33886,311,334.6480,176.0392,0.0334,---,338.7841,212.7856,0.1287, 6.4520
33936,311,334.6480,176.0392,0.0334,---,338.7852,212.5643,0.1287, 6.3986
33986,311,334.6480,176.0392,0.0334,---,338.7864,212.3414,0.1287, 6.4535
34036,311,334.6480,176.0392,0.0334,---,338.7876,212.1169,0.1287, 5.9782
34086,311,334.6480,176.0392,0.0334,---,338.7888,211.8912,0.1287, 6.0587
34136,311,334.6480,176.0392,0.0334,---,338.7899,211.6643,0.1288, 6.1757
34186,311,334.6480,176.0392,0.0334,---,338.7911,211.4365,0.1288, 6.4345
34236,311,334.6480,176.0392,0.0334,---,338.7923,211.2079,0.1288, 6.4020
34236,304,334.6480,176.0392,0.0334,---,309.5806,199.2079,0.1289, 1000000.0000
34286,304,334.6480,176.0392,0.0334,---,309.8194,199.2077,0.1289, 6.3139
34286,311,334.6480,176.0392,0.0334,---,338.7933,210.9785,0.1288, 6.5104
34336,304,334.6480,176.0392,0.0334,---,310.0582,199.2073,0.1289, 6.2520
34336,311,334.6480,176.0392,0.0334,---,338.7944,210.7485,0.1288, 6.0065
34386,304,334.6480,176.0392,0.0334,---,310.2969,199.2070,0.1289, 6.1266
34386,311,334.6480,176.0392,0.0334,---,338.7955,210.5179,0.1288, 6.4759
34436,304,334.6480,176.0392,0.0334,---,310.5357,199.2068,0.1289, 6.5360
34436,311,334.6480,176.0392,0.0334,---,338.7965,210.2869,0.1288, 6.2064
34486,304,334.6480,176.0392,0.0334,---,310.7745,199.2065,0.1289, 6.4938
34486,311,334.6480,176.0392,0.0334,---,338.7976,210.0554,0.1288, 6.5817
34536,304,334.6480,176.0392,0.0334,---,311.0132,199.2062,0.1289, 6.6095
34536,311,334.6480,176.0392,0.0334,---,338.7986,209.8235,0.1288, 6.6828
34586,304,334.6480,176.0392,0.0334,---,311.2520,199.2060,0.1289, 5.8772
34586,311,334.6480,176.0392,0.0334,---,338.7997,209.5914,0.1288, 6.4829
34636,304,334.6480,176.0392,0.0334,---,311.4908,199.2057,0.1289, 6.1209
34636,311,334.6480,176.0392,0.0334,---,338.8008,209.3589,0.1288, 6.5803
